,true_positive,true_negative,false_positive,false_negative,precision,recall,f1_score,false_positive_rate,threshold
439,2642.0,1797.0,775.0,0.0,0.7731928825378418,1.0,0.8720911145210266,0.30132192373275757,0.8788788788788788
440,2642.0,1790.0,782.0,0.0,0.7716121673583984,1.0,0.8710847496986389,0.3040435314178467,0.8808808808808809
441,2642.0,1788.0,784.0,0.0,0.771161675453186,1.0,0.8707976341247559,0.3048211634159088,0.8828828828828829
442,2642.0,1781.0,791.0,0.0,0.7695893049240112,1.0,0.8697942495346069,0.3075427711009979,0.8848848848848849
443,2642.0,1780.0,792.0,0.0,0.7693651914596558,1.0,0.8696510791778564,0.3079315721988678,0.8868868868868869
444,2642.0,1775.0,797.0,0.0,0.768246591091156,1.0,0.8689360022544861,0.30987557768821716,0.8888888888888888
445,2642.0,1772.0,800.0,0.0,0.7675769925117493,1.0,0.8685075640678406,0.3110419809818268,0.8908908908908909
446,2642.0,1766.0,806.0,0.0,0.7662413120269775,1.0,0.8676518797874451,0.3133748173713684,0.8928928928928929
447,2642.0,1757.0,815.0,0.0,0.7642464637756348,1.0,0.8663715124130249,0.31687402725219727,0.8948948948948949
448,2642.0,1749.0,823.0,0.0,0.7624819874763489,1.0,0.8652366399765015,0.31998443603515625,0.8968968968968969
449,2642.0,1742.0,830.0,0.0,0.7609447240829468,1.0,0.8642460107803345,0.32270607352256775,0.8988988988988988
450,2642.0,1734.0,838.0,0.0,0.7591953873634338,1.0,0.8631166219711304,0.32581648230552673,0.9009009009009009
451,2642.0,1728.0,844.0,0.0,0.757888674736023,1.0,0.8622715473175049,0.32814928889274597,0.9029029029029029
452,2642.0,1725.0,847.0,0.0,0.7572370171546936,1.0,0.8618496060371399,0.329315721988678,0.9049049049049049
453,2642.0,1717.0,855.0,0.0,0.7555047273635864,1.0,0.8607264757156372,0.33242613077163696,0.9069069069069069
454,2642.0,1713.0,859.0,0.0,0.7546415328979492,1.0,0.8601660132408142,0.33398133516311646,0.9089089089089089
455,2642.0,1709.0,863.0,0.0,0.7537803053855896,1.0,0.8596063256263733,0.33553653955459595,0.9109109109109109
456,2642.0,1705.0,867.0,0.0,0.7529210448265076,1.0,0.8590472936630249,0.33709174394607544,0.9129129129129129
457,2642.0,1704.0,868.0,0.0,0.7527065277099609,1.0,0.8589076995849609,0.3374805450439453,0.914914914914915
458,2642.0,1697.0,875.0,0.0,0.7512084245681763,1.0,0.8579314947128296,0.3402021825313568,0.9169169169169169
459,2642.0,1694.0,878.0,0.0,0.7505682110786438,1.0,0.8575137853622437,0.34136858582496643,0.9189189189189189
460,2642.0,1688.0,884.0,0.0,0.7492910027503967,1.0,0.8566796183586121,0.34370139241218567,0.9209209209209209
461,2642.0,1685.0,887.0,0.0,0.7486540079116821,1.0,0.8562631607055664,0.3448677957057953,0.9229229229229229
462,2642.0,1677.0,895.0,0.0,0.7469606995582581,1.0,0.8551545739173889,0.34797823429107666,0.924924924924925
463,2642.0,1670.0,902.0,0.0,0.7454853057861328,1.0,0.8541868925094604,0.35069984197616577,0.9269269269269269
464,2642.0,1664.0,908.0,0.0,0.7442253232002258,1.0,0.8533591628074646,0.353032648563385,0.9289289289289289
465,2642.0,1659.0,913.0,0.0,0.7431786060333252,1.0,0.8526706695556641,0.35497668385505676,0.9309309309309309
466,2642.0,1655.0,917.0,0.0,0.7423433661460876,1.0,0.8521206378936768,0.35653188824653625,0.9329329329329329
467,2642.0,1648.0,924.0,0.0,0.7408861517906189,1.0,0.8511598110198975,0.35925349593162537,0.934934934934935
468,2642.0,1642.0,930.0,0.0,0.7396416664123535,1.0,0.8503379225730896,0.3615863025188446,0.9369369369369369
469,2642.0,1640.0,932.0,0.0,0.7392277717590332,1.0,0.8500643372535706,0.36236390471458435,0.938938938938939
470,2642.0,1634.0,938.0,0.0,0.7379888296127319,1.0,0.8492445945739746,0.364696741104126,0.9409409409409409
471,2642.0,1629.0,943.0,0.0,0.7369595766067505,1.0,0.8485627174377441,0.36664074659347534,0.9429429429429429
472,2642.0,1619.0,953.0,0.0,0.7349095940589905,1.0,0.8472021818161011,0.3705287575721741,0.944944944944945
473,2642.0,1615.0,957.0,0.0,0.7340928316116333,1.0,0.8466591835021973,0.37208399176597595,0.9469469469469469
474,2642.0,1607.0,965.0,0.0,0.7324646711349487,1.0,0.8455752730369568,0.37519440054893494,0.948948948948949
475,2642.0,1601.0,971.0,0.0,0.7312482595443726,1.0,0.8447641730308533,0.3775272071361542,0.950950950950951
476,2642.0,1600.0,972.0,0.0,0.7310459613800049,1.0,0.844629168510437,0.37791600823402405,0.9529529529529529
477,2642.0,1595.0,977.0,0.0,0.7300359010696411,1.0,0.8439546227455139,0.3798600435256958,0.954954954954955
478,2642.0,1588.0,984.0,0.0,0.7286266088485718,1.0,0.8430121541023254,0.3825816512107849,0.9569569569569569
479,2642.0,1579.0,993.0,0.0,0.726822555065155,1.0,0.8418034315109253,0.38608086109161377,0.958958958958959
480,2642.0,1571.0,1001.0,0.0,0.7252264618873596,1.0,0.8407319188117981,0.38919129967689514,0.960960960960961
481,2642.0,1563.0,1009.0,0.0,0.7236373424530029,1.0,0.8396630883216858,0.3923017084598541,0.9629629629629629
482,2642.0,1553.0,1019.0,0.0,0.7216607332229614,1.0,0.8383309245109558,0.39618974924087524,0.964964964964965
483,2642.0,1551.0,1021.0,0.0,0.7212667465209961,1.0,0.8380650281906128,0.396967351436615,0.9669669669669669
484,2642.0,1549.0,1023.0,0.0,0.7208731174468994,1.0,0.8377992510795593,0.39774495363235474,0.968968968968969
485,2642.0,1546.0,1026.0,0.0,0.7202835083007812,1.0,0.8374009728431702,0.39891135692596436,0.970970970970971
486,2642.0,1538.0,1034.0,0.0,0.718716025352478,1.0,0.836340606212616,0.40202176570892334,0.9729729729729729
487,2642.0,1529.0,1043.0,0.0,0.7169606685638428,1.0,0.835150957107544,0.4055210053920746,0.974974974974975
488,2642.0,1526.0,1046.0,0.0,0.7163774371147156,1.0,0.8347551226615906,0.4066874086856842,0.9769769769769769
489,2642.0,1511.0,1061.0,0.0,0.7134755849838257,1.0,0.8327817320823669,0.4125194549560547,0.978978978978979
490,2642.0,1504.0,1068.0,0.0,0.7121293544769287,1.0,0.8318639993667603,0.4152410626411438,0.980980980980981
491,2642.0,1499.0,1073.0,0.0,0.7111709117889404,1.0,0.8312097191810608,0.41718506813049316,0.9829829829829829
492,2642.0,1489.0,1083.0,0.0,0.7092617154121399,1.0,0.8299041986465454,0.4210731089115143,0.984984984984985
493,2642.0,1484.0,1088.0,0.0,0.7083110213279724,1.0,0.8292529582977295,0.42301711440086365,0.986986986986987
494,2642.0,1478.0,1094.0,0.0,0.7071734666824341,1.0,0.8284728527069092,0.4253499209880829,0.988988988988989
495,2642.0,1470.0,1102.0,0.0,0.7056623697280884,1.0,0.8274350166320801,0.42846032977104187,0.990990990990991
496,2642.0,1464.0,1108.0,0.0,0.7045333385467529,1.0,0.826658308506012,0.4307931661605835,0.992992992992993
497,2642.0,1462.0,1110.0,0.0,0.7041577696800232,1.0,0.8263997435569763,0.43157076835632324,0.994994994994995
498,2642.0,1450.0,1122.0,0.0,0.7019128799438477,1.0,0.8248516917228699,0.4362363815307617,0.996996996996997
499,2642.0,1446.0,1126.0,0.0,0.7011677026748657,1.0,0.8243369460105896,0.4377916157245636,0.998998998998999
500,2642.0,1439.0,1133.0,0.0,0.6998675465583801,1.0,0.8234377503395081,0.4405132234096527,1.001001001001001
501,2642.0,1430.0,1142.0,0.0,0.6982029676437378,1.0,0.822284460067749,0.44401243329048157,1.003003003003003
502,2642.0,1417.0,1155.0,0.0,0.695812463760376,1.0,0.8206242918968201,0.4490668773651123,1.005005005005005
503,2642.0,1410.0,1162.0,0.0,0.6945320963859558,1.0,0.8197331428527832,0.4517884850502014,1.007007007007007
504,2642.0,1400.0,1172.0,0.0,0.6927110552787781,1.0,0.8184634447097778,0.45567652583122253,1.009009009009009
505,2642.0,1389.0,1183.0,0.0,0.690718948841095,1.0,0.817071259021759,0.45995333790779114,1.011011011011011
506,2642.0,1380.0,1192.0,0.0,0.68909752368927,1.0,0.8159357905387878,0.4634525775909424,1.013013013013013
507,2642.0,1375.0,1197.0,0.0,0.688200056552887,1.0,0.8153063058853149,0.46539658308029175,1.015015015015015
508,2642.0,1367.0,1205.0,0.0,0.6867688894271851,1.0,0.8143011331558228,0.46850699186325073,1.017017017017017
509,2642.0,1357.0,1215.0,0.0,0.6849883198738098,1.0,0.8130481839179993,0.47239503264427185,1.019019019019019
510,2642.0,1348.0,1224.0,0.0,0.6833937168121338,1.0,0.8119238018989563,0.4758942425251007,1.021021021021021
511,2642.0,1343.0,1229.0,0.0,0.6825109720230103,1.0,0.8113004565238953,0.4778382480144501,1.023023023023023
512,2642.0,1333.0,1239.0,0.0,0.6807523965835571,1.0,0.810056746006012,0.4817262887954712,1.025025025025025
513,2642.0,1324.0,1248.0,0.0,0.6791774034500122,1.0,0.808940589427948,0.48522549867630005,1.027027027027027
514,2642.0,1311.0,1261.0,0.0,0.676915168762207,1.0,0.8073338270187378,0.4902799427509308,1.029029029029029
515,2642.0,1304.0,1268.0,0.0,0.6757033467292786,1.0,0.8064712882041931,0.4930015504360199,1.031031031031031
516,2642.0,1294.0,1278.0,0.0,0.6739795804023743,1.0,0.8052423000335693,0.496889591217041,1.033033033033033
517,2642.0,1284.0,1288.0,0.0,0.6722646355628967,1.0,0.8040170669555664,0.5007776021957397,1.035035035035035
518,2642.0,1279.0,1293.0,0.0,0.6714104413986206,1.0,0.8034058213233948,0.5027216076850891,1.037037037037037
519,2642.0,1273.0,1299.0,0.0,0.6703882217407227,1.0,0.8026735782623291,0.5050544142723083,1.039039039039039
520,2642.0,1268.0,1304.0,0.0,0.6695387959480286,1.0,0.8020643591880798,0.5069984197616577,1.0410410410410411
521,2642.0,1259.0,1313.0,0.0,0.66801518201828,1.0,0.8009701371192932,0.5104976892471313,1.043043043043043
